Date,Day Traded,UPRO,GLDM,$USD,TECL,TQQQ,SGOV,GLD,UDOW,SQQQ,PSQ
5/15/2026,Yes,-,9.2%,0.1%,7.9%,-,82.8%,-,-,-,-
5/14/2026,Yes,-,-,-,-,10%,-,-,-,90%,-
5/13/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
5/12/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
5/11/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
5/8/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
5/7/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
5/6/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
5/5/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
5/4/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
5/1/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
4/30/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
4/29/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
4/28/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
4/27/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/24/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/23/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
4/22/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/21/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/20/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/17/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/16/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/15/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
4/14/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/13/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/10/2026,Yes,-,9%,-,-,10%,81%,-,-,-,-
4/9/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
4/8/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
4/7/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/6/2026,Yes,-,9%,-,10%,-,81%,-,-,-,-
4/2/2026,Yes,-,9%,-,-,-,81%,-,-,10%,-
4/1/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
3/31/2026,Yes,-,9%,-,-,-,81%,-,-,10%,-
3/30/2026,Yes,22.5%,-,-,-,67.5%,-,-,-,-,10%
3/27/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/26/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/25/2026,Yes,-,9%,-,-,-,81%,-,-,10%,-
3/24/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/23/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/20/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/19/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/18/2026,Yes,-,9%,-,-,-,81%,-,-,10%,-
3/17/2026,Yes,-,9%,-,-,-,81%,-,-,10%,-
3/16/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/13/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/12/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/11/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
3/10/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
3/9/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
3/6/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/5/2026,Yes,-,9%,-,-,-,81%,-,-,10%,-
3/4/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
3/3/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
3/2/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
2/27/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
2/26/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
2/25/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
2/24/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
2/23/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
2/20/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
2/19/2026,Yes,-,9%,-,-,-,81%,-,-,10%,-
2/18/2026,Yes,-,9%,-,-,-,81%,-,-,10%,-
2/17/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
2/13/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
2/12/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
2/11/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
2/10/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
2/9/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
2/6/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
2/5/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
2/4/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
2/3/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
2/2/2026,Yes,10%,9%,-,-,-,81%,-,-,-,-
1/30/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
1/29/2026,Yes,-,-,-,-,-,90%,10%,-,-,-
1/28/2026,Yes,-,-,-,-,-,90%,10%,-,-,-
1/27/2026,Yes,-,-,-,-,-,90%,10%,-,-,-
1/26/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/23/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/22/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/21/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/20/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/16/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/15/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/14/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/13/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/12/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/9/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
1/8/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
1/7/2026,Yes,-,9%,-,-,-,81%,10%,-,-,-
1/6/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
1/5/2026,Yes,-,9%,-,-,-,81%,-,10%,-,-
1/2/2026,Yes,-,9%,-,-,-,81%,-,-,-,10%
12/31/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
12/30/2025,Yes,10%,9%,-,-,-,81%,-,-,-,-
12/29/2025,Yes,10%,9%,-,-,-,81%,-,-,-,-
12/26/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/24/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/23/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/22/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/19/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/18/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/17/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/16/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/15/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/12/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/11/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/10/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
12/9/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
12/8/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
12/5/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
12/4/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/3/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/2/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
12/1/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
11/28/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
11/26/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
11/25/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
11/24/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
11/21/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
11/20/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
11/19/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
11/18/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
11/17/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
11/14/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
11/13/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
11/12/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
11/11/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
11/10/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
11/7/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
11/6/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
11/5/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
11/4/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
11/3/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/31/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/30/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/29/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/28/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/27/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/24/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/23/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/22/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
10/21/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
10/20/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/17/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/16/2025,Yes,-,-,-,-,-,90%,10%,-,-,-
10/15/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/14/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/13/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/10/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/9/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
10/8/2025,Yes,-,-,-,-,-,90%,10%,-,-,-
10/7/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/6/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/3/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/2/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
10/1/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/30/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/29/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/26/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/25/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/24/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/23/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/22/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
9/19/2025,Yes,-,9%,-,-,10%,81%,-,-,-,-
9/18/2025,Yes,-,9%,-,-,10%,81%,-,-,-,-
9/17/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/16/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/15/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/12/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/11/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/10/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/9/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/8/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/5/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/4/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/3/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
9/2/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
8/29/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
8/28/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
8/27/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
8/26/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
8/25/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
8/22/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
8/21/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
8/20/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
8/19/2025,Yes,-,9%,-,-,-,81%,-,10%,-,-
8/18/2025,Yes,10%,9%,-,-,-,81%,-,-,-,-
8/15/2025,Yes,10%,9%,-,-,-,81%,-,-,-,-
8/14/2025,Yes,10%,9%,-,-,-,81%,-,-,-,-
8/13/2025,Yes,-,9%,-,-,10%,81%,-,-,-,-
8/12/2025,Yes,-,9%,-,-,10%,81%,-,-,-,-
8/11/2025,Yes,-,9%,-,-,10%,81%,-,-,-,-
8/8/2025,Yes,-,9%,-,-,10%,81%,-,-,-,-
8/7/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
8/6/2025,Yes,-,9%,-,-,10%,81%,-,-,-,-
8/5/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
8/4/2025,Yes,-,9%,-,-,-,81%,10%,-,-,-
8/1/2025,Yes,-,9%,-,-,-,81%,-,-,-,10%
7/31/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
7/30/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
7/29/2025,Yes,-,9%,-,10%,-,81%,-,-,-,-
