date,symphony_id,ticker,weight_pct,shares,market_value,source
2026-05-22,g7WBkfIc6UWUWC6NiAdu,UPRO,3.3302,1.40016,200.3488944,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,SVXY,3.6365,4.13809,218.7808183,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,TECL,24.1692,6.99443,1454.0720527,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,TQQQ,32.779,25.32819,1972.055406219,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,SHV,6.4254,3.50419,386.56471985,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,GLD,19.613,2.85152,1179.958976,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,VGT,7.1792,3.73305,431.91687144,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,TMV,2.1138,3.17935,127.173046195,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,VIXM,0.5689,2.18176,34.227232704,symphony-stats-meta
2026-05-22,g7WBkfIc6UWUWC6NiAdu,$USD,0.1847,11.11,11.11,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,UPRO,3.3308,1.40016,200.3348928,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,SVXY,3.6306,4.13809,218.3670093,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,TECL,23.6841,6.8536,1424.52076,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,TQQQ,32.779,25.32819,1971.5463096,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,SHV,6.4267,3.50419,386.5471989,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,GLD,19.9508,2.89975,1199.974545,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,VGT,7.1841,3.73305,432.1005375,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,TMV,2.1044,3.17935,126.5699235,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,VIXM,0.5706,2.18176,34.3190848,symphony-stats-meta
2026-05-24,g7WBkfIc6UWUWC6NiAdu,$USD,0.339,20.39,20.39,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,UPRO,3.3308,1.40016,200.3348928,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,SVXY,3.6306,4.13809,218.3670093,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,TECL,23.6841,6.8536,1424.52076,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,TQQQ,32.779,25.32819,1971.5463096,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,SHV,6.4267,3.50419,386.5471989,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,GLD,19.9508,2.89975,1199.974545,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,VGT,7.1841,3.73305,432.1005375,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,TMV,2.1044,3.17935,126.5699235,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,VIXM,0.5706,2.18176,34.3190848,symphony-stats-meta
2026-05-25,g7WBkfIc6UWUWC6NiAdu,$USD,0.339,20.39,20.39,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,UPRO,3.2669,1.40016,204.1853328,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,SVXY,3.5494,4.13809,221.8430049,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,TECL,24.6495,6.8536,1540.62005864,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,TQQQ,33.232,25.32819,2077.03822095,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,SHV,6.1855,3.50419,386.59976175,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,GLD,19.1974,2.89975,1199.858555,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,VGT,7.053,3.73305,440.81720925,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,TMV,1.9974,3.17935,124.83717775,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,VIXM,0.5428,2.18176,33.925495296,symphony-stats-meta
2026-05-26,g7WBkfIc6UWUWC6NiAdu,$USD,0.3262,20.39,20.39,symphony-stats-meta
2026-05-27,g7WBkfIc6UWUWC6NiAdu,$USD,100.0,6142.56,6142.56,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,UPRO,3.3197,1.40292,208.0810944,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,SVXY,3.6455,4.17354,228.501315,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,TECL,22.3844,6.09652,1403.0531128,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,TQQQ,34.5276,25.85183,2164.18594845,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,SHV,6.3677,3.61676,399.1275498,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,GLD,19.7896,3.00356,1240.4102088,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,VGT,7.1404,3.76215,447.557779095,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,TMV,2.0915,3.4141,131.09666026,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,VIXM,0.6347,2.58518,39.779974286,symphony-stats-meta
2026-05-28,g7WBkfIc6UWUWC6NiAdu,$USD,0.0989,6.2,6.2,symphony-stats-meta
2026-05-29,g7WBkfIc6UWUWC6NiAdu,$USD,100.0,14572.23,14572.23,symphony-stats-meta
