date,ticker,rsi14,close
2026-02-10,SPY,61.81,690.2349
2026-02-11,SPY,61.62,690.0754
2026-02-12,SPY,50.58,679.4146
2026-02-13,SPY,51.0,679.8932
2026-02-17,SPY,52.02,680.9902
2026-02-18,SPY,55.16,684.4208
2026-02-19,SPY,53.19,682.6157
2026-02-20,SPY,57.64,687.5523
2026-02-23,SPY,50.31,680.5315
2026-02-24,SPY,54.68,685.4779
2026-02-25,SPY,59.21,691.2622
2026-02-26,SPY,55.26,687.4226
2026-02-27,SPY,52.05,684.1216
2026-03-02,SPY,52.4,684.5106
2026-03-03,SPY,46.7,678.4771
2026-03-04,SPY,51.24,683.264
2026-03-05,SPY,47.75,679.4544
2026-03-06,SPY,40.77,670.5487
2026-03-09,SPY,46.34,676.4227
2026-03-10,SPY,45.49,675.3356
2026-03-11,SPY,44.8,674.488
2026-03-12,SPY,37.39,664.2459
2026-03-13,SPY,35.1,660.4862
2026-03-16,SPY,41.95,667.2079
2026-03-17,SPY,43.63,668.963
2026-03-18,SPY,37.44,659.6285
2026-03-19,SPY,36.47,658.003
2026-03-20,SPY,31.39,648.57
2026-03-23,SPY,38.1,655.38
2026-03-24,SPY,36.84,653.18
2026-03-25,SPY,40.34,656.82
2026-03-26,SPY,33.84,645.09
2026-03-27,SPY,29.1,634.09
2026-03-30,SPY,28.28,631.97
2026-03-31,SPY,43.23,650.34
2026-04-01,SPY,46.44,655.24
2026-04-02,SPY,46.83,655.83
2026-04-06,SPY,48.93,658.93
2026-04-07,SPY,49.14,659.22
2026-04-08,SPY,59.22,676.01
2026-04-09,SPY,61.15,679.91
2026-04-10,SPY,60.79,679.46
2026-04-13,SPY,64.12,686.1
2026-04-14,SPY,67.82,694.46
2026-04-15,SPY,70.01,699.94
2026-04-16,SPY,70.68,701.66
2026-04-17,SPY,73.8,710.14
2026-04-20,SPY,72.41,708.72
2026-04-21,SPY,67.91,704.08
2026-04-22,SPY,70.9,711.21
2026-04-23,SPY,68.25,708.45
2026-04-24,SPY,70.61,713.94
2026-04-27,SPY,71.12,715.17
2026-04-28,SPY,67.51,711.69
2026-04-29,SPY,67.39,711.58
2026-04-30,SPY,70.88,718.66
2026-05-01,SPY,71.79,720.65
2026-05-04,SPY,68.71,718.01
2026-05-05,SPY,71.58,723.77
2026-05-06,SPY,75.75,733.83
2026-05-07,SPY,73.16,731.58
2026-05-08,SPY,75.58,737.62
2026-05-09,SPY,76.53,0
2026-05-11,SPY,76.22,739.3
2026-05-12,SPY,74.81,738.18
2026-05-13,SPY,76.53,742.31
2026-05-14,SPY,78.75,748.17
2026-05-15,SPY,68.1,739.17
2026-05-18,SPY,67.53,738.65
